"STATUS_0", "Incompleto o invalido"
"Incorrect credit card expiration date.", "Data di scadenza della carta di credito incorretta."
"Credit Card Type", "Tipo di carta di credito"
"Name on Card", "Intestatario"
"Credit Card Number", "Numero di carta di credito"
"Expiration Date", "Data di scadenza"
"Account holder", "Intestatario"
"Account number", "Numero di conto"
"Bank code", "codice bankario"
"BCMC", "Bancontact/Mister Cash"
"You will be redirected to Viveum website when you place an order.", "Verrà rindirizzato alla pagina web Viveum quando l'ordine sarà piazzato."
"Please wait a moment. This page will transfer your data to Viveum payment gateway in a few seconds.", "Si prega di attendere. Questa pagina transferirà i Vostri dati al gateway di pagamento Viveum in pochi secondi."
"PSPID is a case sensitive field", "IL PSPID é sensibile alle maiuscole"
"SHA-IN Pass phrase", "Firma SHA-1-IN"
"Refer to Viveum's backend in section <em>Technical Information</em> on tab <em>Data and origin verification</em>.", "Riferirsi al Viveum backend sezione <em>Informazione tecniche</em> tab <em>Controllo dei dati e d'origine </em>."
"SHA-OUT Pass phrase", "Firma SHA-1-OUT"
"Refer to Viveum's backend in section <em>Technical Information</em> on tab <em>Transaction feedback</em>.", "_________"
"Test url example: https://viveum.v-psp.com/ncol/test/orderstandard_utf8.asp<br />Production url example: https://viveum.v-psp.com/ncol/prod/orderstandard_utf8.asp", "esempio test: https://viveum.v-psp.com/ncol/test/orderstandard_utf8.asp<br />esempio production: https://viveum.v-psp.com/ncol/prod/orderstandard_utf8.asp"
"Test url example: https://viveum.v-psp.com/ncol/test/maintenancedirect.asp<br />Production url example: https://viveum.v-psp.com/ncol/prod/maintenancedirect.asp", "esempio test: https://viveum.v-psp.com/ncol/test/maintenancedirect.asp<br />esempio production: https://viveum.v-psp.com/ncol/prod/maintenancedirect.asp"
"Test url example: https://viveum.v-psp.com/ncol/test/orderdirect.asp<br />Production url example: https://viveum.v-psp.com/ncol/prod/orderdirect.asp", "esempio test: https://viveum.v-psp.com/ncol/test/orderdirect.asp<br />esempio production: https://viveum.v-psp.com/ncol/prod/orderdirect.asp"
"API User", "API User"
"API Password", "Password del API"
"Payment Action", "Azione di pagametno"
"If you choose 'Viveum', you will need to fill in all the following fields.", "Se si seleziona 'Viveum', si drovà compilare i seguenti campi."
"Payment Template", "Modello di pagamento"
"Title of the Viveum Template", "Titolo del modello Viveum "
"Background Color of Viveum Template", "Colore di sfondo del modello Viveum"
"Text Color of the Viveum Template", "Colore del testo del modello Viveum"
"Table Background Color of the Viveum Template", "Colore di sfondo della tabella del modello Viveum"
"Table Text Color of the Viveum Template", "Colore del testo della tabella del modello Viveum"
"Button Background Color of the Viveum Template", "colore di sfondo del pulsante del modello Viveum"
"Button Text Color of the Viveum Template", "Colore delle testo del bottone del modello Viveum"
"Font Family of the Viveum Template", "Tipo di carattere del modello Viveum"
"Logo of the Viveum Template", "Logo del modello Viveum"
"Layout of Payment Methods", "Layout della pagina di pagamento"
"e.g: white", "bianco"
"e.g: black", "nero"
"e.g: Verdana", "Verdana"
"Debug", "Debug"
"Viveum Account", "Conto Viveum"
"URL/filename of the logo. The URL must be absolute and stored on a secure server.", "URL/nome del file del logo. L' URL deve essere assoluto e salvato su un server sicuro"
"Countries", "Nazioni"
"Card Types", "Tipi di carte"
"Enable 3D secure", "Attivare 3D secure"
"SCORING_DESCRIPTION_AAVCHECK", "Risultato della verifica automatica dell'indirizzo. Al momento la verifica è disponibile solo per American Express. Valori possibili:<br />KO: l'indirizzo è stato inviato ma l'acquirente ha dato risposta negativa alla verifica dell'indirizzo, ossia l'indirizzo è errato.<br />OK:<br />1. l'indirizzo è stato inviato e l'acquirente ha dato risposta positiva alla verifica dell'indirizzo, ossia l'indirizzo è corretto OPPURE<br />2. l'acquirente ha inviato un codice di autorizzazione senza però restituire una risposta specifica per la verifica dell'indirizzo.<br /><br />NO: tutti gli altri casi. Per esempio, non è stato trasmesso alcun indirizzo."
"SCORING_DESCRIPTION_CVCCHECK", "Risultato della verifica del codice di verifica della carta. Valori possibili:<br />KO: il codice CVC è stato inviato ma l'acquirente ha dato risposta negativa alla verifica del codice CVC, ossia il codice CVC è errato.<br />OK:<br />1. il codice CVC è stato inviato e l'acquirente ha dato risposta positiva alla verifica del codice CVC, ossia il codice CVC è corretto OPPURE<br />2. l'acquirente ha inviato un codice di autorizzazione senza però restituire un risultato specifico per la verifica del codice CVC.<br /><br />NO: tutti gli altri casi. Per esempio, non è stato trasmesso alcun codice CVC."
"SCORING_DESCRIPTION_CCCTY", "Il paese di origine della carta di credito.<br />Formato: codice alfabetico ISO a 2 caratteri. Se questo parametro non è disponibile, nella risposta viene restituito il codice '99'."
"SCORING_DESCRIPTION_IPCTY", "Il paese di origine dell'indirizzo IP.<br />Formato: codice alfabetico ISO a 2 caratteri. Se questo parametro non è disponibile, nella risposta viene restituito il codice '99'."
"SCORING_DESCRIPTION_NBREMAILUSAGE", "Number of times an email address has been used over a certain period"
"SCORING_DESCRIPTION_NBRIPUSAGE", "Numero di transazioni concluse con successo per indirizzo IP, per periodo"
"SCORING_DESCRIPTION_NBRIPUSAGE_ALLTX", "Number of times an IP address has been used for successful and/or declined transactions over a certain period"
"SCORING_DESCRIPTION_NBRUSAGE", "Number of times a credit card has been used over a certain period"
"SCORING_DESCRIPTION_VC", "Carta virtuale. Valori possibili:<br />ECB: E-Carte Bleue<br />ICN: Internet City Number<br />NO: tutti gli altri casi. Per esempio, la carta non è una carta virtuale valida"
"SCORING_DESCRIPTION_CARDNO", "Numero della carta"
"SCORING_DESCRIPTION_ED", "Data di scadenza"
"SCORING_DESCRIPTION_CN", "Titolare della carta"
"Card Verification Number", "CVC"
